Text,Sentiment,Text_es,Text_clean
I love this product!,1.0,¡Amo este producto!,amo este producto
The service was terrible.,0.0,El servicio fue terrible.,el servicio fue terrible
This movie is amazing!,1.0,¡Esta película es increíble!,esta película es increíble
I'm so disappointed with their customer support.,0.0,Estoy muy decepcionado con su atención al cliente.,estoy muy decepcionado con su atención al cliente
Just had the best meal of my life!,1.0,¡Acabo de tener la mejor comida de mi vida!,acabo de tener la mejor comida de mi vida
The quality of this product is subpar.,0.0,La calidad de este producto es deficiente.,la calidad de este producto es deficiente
I can't stop listening to this song. It's incredible!,1.0,No puedo dejar de escuchar esta canción. ¡Es increíble!,no puedo dejar de escuchar esta canción es increíble
Their website is so user-friendly. Love it!,1.0,Su sitio web es tan fácil de usar. ¡Me encanta!,su sitio web es tan fácil de usar me encanta
I loved the movie! It was fantastic!,1.0,¡Me encantó la película! ¡Fue fantástico!,me encantó la película fue fantástico
The customer service was terrible.,0.0,El servicio al cliente fue terrible.,el servicio al cliente fue terrible
This book made me feel inspired. Highly recommended!,1.0,Este libro me hizo sentir inspirado. ¡Muy recomendable!,este libro me hizo sentir inspirado muy recomendable
I'm extremely disappointed with their product quality.,0.0,Estoy extremadamente decepcionado con la calidad de su producto.,estoy extremadamente decepcionado con la calidad de su producto
Just had the most amazing vacation! I can't wait to go back.,1.0,¡Acabo de tener las vacaciones más increíbles! No puedo esperar para volver.,acabo de tener las vacaciones más increíbles no puedo esperar para volver
The food at this restaurant was awful. Never going back again!,0.0,La comida en este restaurante era horrible. ¡Nunca volver a volver!,la comida en este restaurante era horrible nunca volver a volver
I can't stop listening to this song. It's my new favorite!,1.0,No puedo dejar de escuchar esta canción. ¡Es mi nuevo favorito!,no puedo dejar de escuchar esta canción es mi nuevo favorito
Their website is so confusing and poorly designed.,0.0,Su sitio web es muy confuso y mal diseñado.,su sitio web es muy confuso y mal diseñado
I had an incredible experience at the theme park. So much fun!,1.0,Tuve una experiencia increíble en el parque temático. ¡Muy divertido!,tuve una experiencia increíble en el parque temático muy divertido
The product arrived damaged. Very disappointed.,0.0,El producto llegó dañado. Muy decepcionado.,el producto llegó dañado muy decepcionado
The concert was absolutely breathtaking. Best performance ever!,1.0,El concierto fue absolutamente impresionante. ¡Mejor actuación de todos!,el concierto fue absolutamente impresionante mejor actuación de todos
I had a terrible experience with their customer support.,0.0,Tuve una experiencia terrible con su atención al cliente.,tuve una experiencia terrible con su atención al cliente
This movie is a masterpiece! I was blown away.,1.0,¡Esta película es una obra maestra! Me quedé impresionado.,esta película es una obra maestra me quedé impresionado
The customer service at this store is top-notch.,1.0,El servicio al cliente en esta tienda es de primera categoría.,el servicio al cliente en esta tienda es de primera categoría
I'm disappointed with the ending of this book. It fell flat.,0.0,Estoy decepcionado con el final de este libro. Cayó plano.,estoy decepcionado con el final de este libro cayó plano
The product I received was damaged. Unacceptable.,0.0,El producto que recibí fue dañado. Inaceptable.,el producto que recibí fue dañado inaceptable
Just had the worst flight experience. Delayed and rude staff.,0.0,Solo tuve la peor experiencia de vuelo. Personal retrasado y grosero.,solo tuve la peor experiencia de vuelo personal retrasado y grosero
The hotel stay was absolutely amazing! Luxury at its finest.,1.0,¡La estadía del hotel fue absolutamente increíble! Lujo en su máxima expresión.,la estadía del hotel fue absolutamente increíble lujo en su máxima expresión
The food at this restaurant was outstanding. Highly recommended!,1.0,La comida en este restaurante fue excepcional. ¡Muy recomendable!,la comida en este restaurante fue excepcional muy recomendable
This playlist is my go-to for workouts. Energizing and motivating!,1.0,Esta lista de reproducción es mi opción para los entrenamientos. ¡Energizante y motivador!,esta lista de reproducción es mi opción para los entrenamientos energizante y motivador
I had a frustrating experience navigating through their website.,0.0,Tuve una experiencia frustrante navegando a través de su sitio web.,tuve una experiencia frustrante navegando a través de su sitio web
The roller coaster ride was thrilling! Heart-pounding excitement!,1.0,¡El paseo en la montaña rusa fue emocionante! ¡Excitación con el corazón sincero!,el paseo en la montaña rusa fue emocionante excitación con el corazón sincero
The product I ordered never arrived. Terrible service.,0.0,El producto que pedí nunca llegó. Terrible servicio.,el producto que pedí nunca llegó terrible servicio
I can't get enough of this band. Their music is incredible!,1.0,No puedo tener suficiente de esta banda. ¡Su música es increíble!,no puedo tener suficiente de esta banda su música es increíble
I had a great chat with their customer support. Helpful and friendly.,1.0,Tuve una gran conversación con su atención al cliente. Servicial y amable.,tuve una gran conversación con su atención al cliente servicial y amable
